,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
34,Caco-2,H3K4me1,FRAM,0.0006762072876780751,0.9388553904797331,-0.01660023350738914,0.017952244429501843
35,Caco-2,H3K4me1,AluJr,-0.0054783714069636955,0.5208784557353524,-0.0222004836343197,0.011246805297283669
36,Caco-2,H3K4me1,AluSq,0.0005749272776038671,0.9458760030074136,-0.01602284125280206,0.01717237904521029
37,Caco-2,H3K4me1,L1ME3G,0.0551760199178751,0.37650581572619646,-0.06725714227063519,0.1759721520982657
38,Caco-2,H3K4me1,MER5A1,0.006803765168920494,0.6903869091317949,-0.026670621701851863,0.040262910568451
39,Caco-2,H3K4me1,MLT1D,-0.019926968894639265,0.2201396957970048,-0.051744267530997604,0.011930742789656522
40,Caco-2,H3K4me1,L1ME1,0.019167476996500846,0.5820261074107672,-0.04907557177624766,0.08723239609015597
41,Caco-2,H3K4me1,L1MC4,-0.04407503283505998,0.27356496020110316,-0.12249292361005044,0.03488976789089327
42,Caco-2,H3K4me1,MIR1_Amn,-0.013041623425513828,0.715585485872726,-0.08303170755422219,0.05707648790380617
43,Caco-2,H3K4me1,MLT1K,-0.10041404944883259,0.07848520774012759,-0.21008794329551767,0.011755613266994333
44,Caco-2,H3K4me1,MER58A,-0.016710756220178393,0.17925570593315573,-0.0410801675786082,0.007678524843752924
45,Caco-2,H3K4me1,MLT1C2,0.007319004537224983,0.6569780755159145,-0.024980759703756274,0.03960350371232699
46,Caco-2,H3K4me1,MLT1B,0.0047863354096141664,0.7162816125539477,-0.02102426897074102,0.03059056402749524
47,Caco-2,H3K4me1,MLT1J,0.0013274753206559203,0.9843445653941797,-0.13066672232264367,0.1332754332934624
48,Caco-2,H3K4me1,THE1D,-0.0198101986403597,0.03833585230006604,-0.03854365262768488,-0.001062824384830768
49,Caco-2,H3K4me1,L1MB8,-0.027934477991235614,0.04440799106308098,-0.055133846030950215,-0.0006936825033505537
50,Caco-2,H3K4me1,L1PA4,-0.03072646073677825,0.0015818888906792522,-0.04976694555960264,-0.011663649565412307
51,Caco-2,H3K4me1,L1MB3,-0.07417483830167489,9.473625061560872e-11,-0.09652457625799424,-0.05175033887367811
52,Caco-2,H3K4me1,AluYk2,,,,
53,Caco-2,H3K4me1,HAL1,-0.024282079259953904,0.7906378342627338,-0.20120006924260544,0.15417005339874004
54,Caco-2,H3K4me1,MLT1A,-0.039043807262354784,0.017638657642966897,-0.0712160632033694,-0.0067903988333830635
55,Caco-2,H3K4me1,L1MC5a,0.0823234175906161,0.07489673603753863,-0.008436928273357432,0.17173848089114027
56,Caco-2,H3K4me1,L1PA7,-0.03815647096593378,0.00014263248189340662,-0.0577873003749204,-0.01849614574877856
57,Caco-2,H3K4me1,L1MB7,-0.023829046699676403,0.09370544348177427,-0.05166046092340197,0.0040393529514528926
58,Caco-2,H3K4me1,MER3,-0.03664918243567062,0.015505441507989395,-0.06626792088549906,-0.006965914787249966
59,Caco-2,H3K4me1,L1PA5,-0.021245459452731884,0.03785942757660871,-0.04128458699693208,-0.0011892467138508271
60,Caco-2,H3K4me1,AluSx4,-0.013871092645947757,0.18052320520248188,-0.03416280977588053,0.006432056068534006
61,Caco-2,H3K4me1,L1MA9,-0.07135586059527624,1.9856082369608373e-07,-0.09812211308322458,-0.04448644548923421
62,Caco-2,H3K4me1,L1PA16,-0.08795970578786391,1.6972586040760552e-16,-0.10875515308139874,-0.06708730513283064
63,Caco-2,H3K4me1,L1M4,-0.06846578023268743,0.00028055105215353353,-0.1052125948560627,-0.031532248262987825
64,Caco-2,H3K4me1,MLT1L,0.03268167258683349,0.616651521538321,-0.09517876597849141,0.1594812649357286
65,Caco-2,H3K4me1,L1ME3A,0.0042234965106149715,0.9336549624764314,-0.09499174378712576,0.1033556555939409
66,Caco-2,H3K4me1,L1MC5,-0.03509639561567779,0.3972257041512607,-0.11592533707934528,0.04619432642271822
67,Caco-2,H3K4me1,MLT1I,-0.056182210696960055,0.35243964124359983,-0.1731938560955473,0.0623933969217012
68,Caco-2,H3K4me1,L1PA3,-0.04843618483744517,9.797990071277749e-06,-0.06985640189528974,-0.026971322867662892
69,Caco-2,H3K4me1,MER103C,-0.01061969335015806,0.8752588467570839,-0.14239504826159885,0.12152555506148159
70,Caco-2,H3K4me1,Tigger1,-0.08666182838127662,8.123392401890397e-15,-0.10840760689287068,-0.06483315375985474
71,Caco-2,H3K4me1,MSTB,-0.02760482495646125,0.018731435922360415,-0.05059318867382502,-0.0045872254950170555
72,Caco-2,H3K4me1,L3b,-0.03531444865906697,0.6240476789982075,-0.17500138633928414,0.10576611865008999
73,Caco-2,H3K4me1,L1ME4c,-0.08659641830078418,0.23358714747109133,-0.22605364655535162,0.05633921773268751
74,Caco-2,H3K4me1,THE1C,-0.036600597783076005,0.0013697196274890873,-0.05897494182734305,-0.014189498960356163
75,Caco-2,H3K4me1,MADE1,-0.006195831134385567,0.5908050287722186,-0.02877476811267414,0.016389425228051095
76,Caco-2,H3K4me1,MER2,-0.03277745585734058,0.007354194796916433,-0.056709936128459947,-0.008807328607709853
77,Caco-2,H3K4me1,FLAM_A,-0.002441659755428922,0.8407476962971343,-0.026252806751491643,0.021372256278303838
78,Caco-2,H3K4me1,MLT1H,0.0062153730882343935,0.9190296064970409,-0.11324568400609718,0.12549928790934783
