,average_abs_corr,average_divergence,average_length,count,log10_count,class_name,family_name,average_abs_corr_random_95_top,status_95
AluSx1,0.027610220867998653,6.8152074031223995,313.07564316120676,54030,4.732634967539195,SINE,Alu,0.004228192993297599,above
AluSx3,0.026807258980369893,6.988924342589428,322.32543299908843,19746,4.295479132678017,SINE,Alu,0.0071374647128736235,above
AluSx4,0.024314435291445145,6.236958699159469,311.8226126974166,9561,3.9805033181933953,SINE,Alu,0.010408314676775833,above
AluSz,0.026881806832173068,7.41464588910042,313.2345064954144,47649,4.678053790618855,SINE,Alu,0.004513833409692027,above
AluSz6,0.028337512964185796,8.474814730892588,313.35426590194743,30861,4.489409994554269,SINE,Alu,0.005658088175562931,above
AluY,0.021763259855322497,4.826510299433257,317.88013145087115,111981,5.049144341463508,SINE,Alu,0.00289414671570157,above
AluYa5,0.06050058888796956,2.5654780641469563,312.76965140123036,4389,3.6423655808449733,SINE,Alu,0.015605027781953827,above
AluYa8,0.04709000406842994,9.739728471683476,313.9410909090909,1375,3.1383026981662816,SINE,Alu,0.028540079356935172,above
AluYb8,0.08458065092301388,4.190494172256302,319.5383411580595,3834,3.5836521085420436,SINE,Alu,0.016741896538893703,above
AluYb9,0.08671406063515517,3.4595904436860065,320.54237288135596,295,2.469822015978163,SINE,Alu,0.06355757197230517,above
AluYc,0.023080562488173542,4.108634766011884,301.3869936034115,2814,3.449324093098727,SINE,Alu,0.019664188310713152,above
AluYc3,0.07792109968598288,8.991019830028328,301.3774834437086,755,2.8779469516291885,SINE,Alu,0.03898344071362508,above
AluYd8,0.09024111613996047,5.661010126906807,302.36805555555554,288,2.459392487759231,SINE,Alu,0.06435647224325643,above
AluYe5,0.04443139599636501,8.164938424667714,310.8910146908097,5854,3.7674527180977733,SINE,Alu,0.013433829336507889,above
AluYe6,0.08115572642532519,7.1327522935779815,311.28739002932554,341,2.5327543789924976,SINE,Alu,0.05894309529014587,above
AluYf1,0.030853338288954344,4.38069681245367,312.2886597938144,1358,3.132899769944483,SINE,Alu,0.028725363378729604,above
AluYg6,0.06329238031242945,7.950119352253206,321.1848501978519,1769,3.2477278329097232,SINE,Alu,0.025034402746110518,above
AluYh3,0.03482109402753812,9.349315068493151,320.45588235294116,1768,3.2474822606770544,SINE,Alu,0.025041766991653294,above
AluYh7,0.059030644164736565,7.5112583099078725,313.0443181818182,880,2.9444826721501687,SINE,Alu,0.03599742130603469,above
AluYh9,0.04117773761434394,11.599068326585387,315.2323943661972,710,2.8512583487190755,SINE,Alu,0.0402496704514161,above
AluYi6,0.06268536772761103,8.747600574712644,314.48294679399726,733,2.8651039746411278,SINE,Alu,0.03958771938346639,above
AluYk11,0.07995708645320884,8.536798780487805,315.44444444444446,342,2.534026106056135,SINE,Alu,0.05885338509501547,above
AluYk12,0.05999880247774959,11.672074554294976,312.0827067669173,665,2.8228216453031045,SINE,Alu,0.04164412746249138,above
AluYk3,0.026880038265147402,4.644925407097377,312.5227646736149,7292,3.8628466599829387,SINE,Alu,0.011983402930996924,above
AluYk4,0.025509784782830478,4.634261305780173,312.64527421236875,1714,3.2340108175871793,SINE,Alu,0.025449086583983697,above
AluYm1,0.025940641805972654,4.334119761931973,312.6443089430894,2952,3.470116353151004,SINE,Alu,0.019180540063206488,above
AmnHarb1,0.05872506901673903,32.614554829182275,1433.7080291970804,137,2.1367205671564067,DNA,PIF-Harbinger,0.09471746183158347,below
AmnL2-1,0.03293511133184819,32.30740575749706,2617.2096774193546,1178,3.0711452904510828,LINE,L2,0.0309305303776995,above
AmnSINE1,0.02596340797713194,33.172934737389404,582.3422486379395,2019,3.305136318943639,SINE,5S-Deu-L2,0.023370928079109662,above
AmnSINE2,0.03814495601478718,34.129098966369384,360.35604395604395,455,2.6580113966571126,SINE,tRNA-Deu,0.05073179804454307,below
Arthur1,0.07239365583736677,25.726174956210734,4059.6903039073804,2073,3.3165993020938607,DNA,hAT-Tip100,0.0230522561702581,above
Arthur1A,0.05356926302249297,27.632589937273114,224.8550185873606,1076,3.0318122713303706,DNA,hAT-Tip100,0.0324225065117481,above
Arthur1B,0.049384864806537324,26.686507712148725,1294.9439707673569,1642,3.215373152783422,DNA,hAT-Tip100,0.026023557167181743,above
Arthur1C,0.051097564721547396,25.200754952873332,414.1721991701245,482,2.6830470382388496,DNA,hAT-Tip100,0.04923318219811044,above
Arthur2,0.03494367314837378,33.01925611109671,3758.167597765363,895,2.951823035315912,DNA,hAT-Tip100,0.035682335774752515,below
BLACKJACK,0.09193043047286162,26.21766055879326,3157.053506869125,1383,3.1408221801093106,DNA,hAT-Blackjack,0.028454087168732396,above
CR1-11_Crp,0.19210702341137117,33.44583333333333,1463.25,32,1.505149978319906,LINE,CR1,0.20180799926153073,below
CR1-12_AMi,0.06608772777461513,33.13575,618.1190476190476,126,2.100370545117563,LINE,CR1,0.09893215413208639,below
CR1-13_AMi,0.0737071535788456,36.11112810489857,725.8695652173913,92,1.9637878273455553,LINE,CR1,0.11651468404882515,below
CR1-16_AMi,0.06077130235721554,32.07441947510521,847.7147335423198,319,2.503790683057181,LINE,CR1,0.061023687797930416,below
CR1-1_Amn,0.0883076704186604,31.37348948167426,813.0849056603773,106,2.0253058652647704,LINE,CR1,0.10823861216486068,below
CR1-3_Croc,0.04892560500992881,36.71063625776477,3629.404571428571,875,2.942008053022313,LINE,CR1,0.036104270358191165,above
CR1-L3A_Croc,0.11269017558996233,31.670923076923078,4292.6,80,1.9030899869919435,LINE,CR1,0.12530039608776747,below
CR1-L3B_Croc,0.14808524808524803,28.681904761904757,3280.103448275862,29,1.462397997898956,LINE,CR1,0.21241020893491716,below
CR1_Mam,0.02879855544124441,35.612951991114215,2280.2501802451334,1387,3.1420764610732848,LINE,CR1,0.02841137407855129,above
Chap1_Mam,0.04612283856837355,30.582100412407826,402.93783303730015,563,2.7505083948513462,DNA,hAT-Charlie,0.04541169482154822,above
Chap1a_Mam,0.04446623566405154,29.281260026704224,1053.3970460469156,1151,3.0610753236297916,DNA,hAT-Charlie,0.03130583550668241,above
Charlie1,0.07175941492076804,21.979866657288817,2880.2100785340313,1528,3.184123354239671,DNA,hAT-Charlie,0.027016020310841517,above
Charlie10,0.04660803471176037,24.73910138224876,2851.332971800434,922,2.9647309210536292,DNA,hAT-Charlie,0.03513493818325363,above
Charlie10a,0.06770806446697988,23.350685214921228,297.3076923076923,260,2.4149733479708178,DNA,hAT-Charlie,0.06787297607515254,below
Charlie10b,0.051826766859755846,23.023060038841823,274.685393258427,267,2.4265112613645754,DNA,hAT-Charlie,0.06694149940247962,below
Charlie11,0.1239201432444488,31.197724914854366,2428.4285714285716,70,1.845098040014257,DNA,hAT-Charlie,0.13431258984073516,below
Charlie12,0.23965166667045415,9.35455875197427,2948.4117647058824,17,1.2304489213782739,DNA,hAT-Charlie,0.2804275331390137,below
Charlie13a,0.07134444024129338,33.745802422779356,1704.700495049505,404,2.606381365110605,DNA,hAT-Charlie,0.05396792582396936,above
Charlie13b,0.040482228467030965,32.451920029430376,571.1476323119778,359,2.5550944485783194,DNA,hAT-Charlie,0.057386893165520314,below
Charlie14a,0.05443394213156875,28.581332872331327,1215.134328358209,402,2.60422605308447,DNA,hAT-Charlie,0.05410741885778206,above
Charlie15a,0.018621369487862024,30.226617559965028,237.66812521036687,2971,3.472902651803664,DNA,hAT-Charlie,0.019116638374859905,below
Charlie15b,0.04470261333441617,28.8056820604075,1126.3902284263959,1576,3.1975562131535367,DNA,hAT-Charlie,0.0265848501344618,above
Charlie16,0.06971061291251827,30.389283942298384,3103.190650779102,1091,3.037824750588342,DNA,hAT-Charlie,0.032189866278395506,above
Charlie16a,0.031116787110730924,29.537061415769642,380.29774436090224,1330,3.123851640967086,DNA,hAT-Charlie,0.02903835109432314,above
Charlie17,0.12908346667125586,27.10651868970197,3057.4307692307693,260,2.4149733479708178,DNA,hAT-Charlie,0.06787297607515254,above
Charlie17a,0.044554886656409096,28.237951668718342,223.74747474747474,1188,3.074816440645175,DNA,hAT-Charlie,0.0307948295177573,above
Charlie17b,0.06567011892077132,26.701114839519146,1314.888198757764,483,2.683947130751512,DNA,hAT-Charlie,0.049180135631444334,above
Charlie18a,0.022839343967349175,28.437620773949963,394.76384581302614,2257,3.353531559077762,DNA,hAT-Charlie,0.022054791518017546,above
Charlie19a,0.02508469130803838,31.63830452283599,402.7516688918558,1498,3.175511813363448,DNA,hAT-Charlie,0.027296106431417864,below
Charlie1a,0.06621600314625795,21.763681547481887,1675.17618703302,4149,3.617943434828973,DNA,hAT-Charlie,0.016068222940277106,above
Charlie1b,0.04958211301870457,21.629275900851404,652.5041194644696,1942,3.288249225571986,DNA,hAT-Charlie,0.023848433390702615,above
Charlie20a,0.0595108203108062,31.730854446241374,903.7969465648855,655,2.816241299991783,DNA,hAT-Charlie,0.041973632269290004,above
Charlie21a,0.04795290838370353,28.786524027203576,1415.308300395257,506,2.7041505168397992,DNA,hAT-Charlie,0.04800438181626971,below
Charlie22a,0.0418978403560675,30.189258739103234,512.5272177419355,992,2.9965116721541785,DNA,hAT-Charlie,0.033822703824571095,above
Charlie23a,0.029979136120543648,30.075381777195798,365.2801161103048,1378,3.139249217571607,DNA,hAT-Charlie,0.028507743362565813,above
Charlie24,0.060137796768486726,29.12080104775865,2482.976396538159,1271,3.104145550554008,DNA,hAT-Charlie,0.029731865063570267,above
Charlie25,0.09477480862359651,31.153228596345865,2717.307994757536,763,2.8825245379548803,DNA,hAT-Charlie,0.038770296419089,above
Charlie26a,0.04562404608647162,27.95630054864223,364.47798742138366,477,2.678518379040114,DNA,hAT-Charlie,0.04950094618162308,below
Charlie29a,0.03301623627398303,29.869654419204497,858.2268722466961,908,2.958085848521085,DNA,hAT-Charlie,0.03541568543504951,below
Charlie29b,0.041712495366829895,28.182652166566385,1250.0152594099695,983,2.9925535178321354,DNA,hAT-Charlie,0.03398342688228222,above
Charlie2a,0.07265798072645774,28.00505219389831,3010.8874305906106,1981,3.296884475538547,DNA,hAT-Charlie,0.023603053562643944,above
Charlie2b,0.06885045212901292,27.722208632951894,2973.7997185741087,2132,3.3287872003545345,DNA,hAT-Charlie,0.022718196261014012,above
Charlie3,0.07918733385459142,8.965084133540415,2516.0692041522493,289,2.4608978427565478,DNA,hAT-Charlie,0.06424054513412196,above
Charlie30a,0.04019168743946308,31.86849409816823,810.8067632850242,414,2.617000341120899,DNA,hAT-Charlie,0.05328589256233504,below
Charlie30b,0.03575735731813896,31.33088206995924,1171.071547420965,601,2.7788744720027396,DNA,hAT-Charlie,0.04389479420600563,below
Charlie31a,0.05250106522298332,31.36177825118834,615.9850523168909,669,2.8254261177678233,DNA,hAT-Charlie,0.04151442651387075,above
Charlie32a,0.06699957391159864,31.33108108108108,347.2189781021898,274,2.437750562820388,DNA,hAT-Charlie,0.06604642298110144,above
Charlie4,0.05103181952472772,25.153467141289198,3295.706730769231,624,2.795184589682424,DNA,hAT-Charlie,0.04304564928610919,above
Charlie4a,0.03205999734023403,24.55274175495848,625.5504828797191,2278,3.3575537197430814,DNA,hAT-Charlie,0.02194880153617922,above
Charlie4z,0.02706169924822822,30.524187718036867,185.6724072672218,5284,3.7229628089424898,DNA,hAT-Charlie,0.014169074533972056,above
Charlie5,0.050430216728100725,19.830881385640645,2686.742066720911,2458,3.390581878550435,DNA,hAT-Charlie,0.021097503270919526,above
Charlie6,0.18190316955473107,24.532271870125765,3650.3924731182797,186,2.2695129442179165,DNA,hAT-Charlie,0.08079010685029481,above
Charlie7,0.06671466306865173,28.217400424366755,2699.761337305528,3021,3.4801507252732806,DNA,hAT-Charlie,0.01895140464319856,above
Charlie7a,0.026127078219423165,28.68597162586052,376.3201754385965,1368,3.1360860973840974,DNA,hAT-Charlie,0.028615948806991594,below
Charlie8,0.056848105326580016,28.993814283226072,2281.6537226277374,3425,3.534660575828444,DNA,hAT-Charlie,0.01775365766877388,above
Charlie9,0.05504444826573702,23.764390292602272,2617.8973684210528,760,2.8808135922807914,DNA,hAT-Charlie,0.038849825759236546,above
Cheshire,0.06312341046347074,19.91663936378469,2546.55875,800,2.9030899869919438,DNA,hAT-Charlie,0.037827003178372544,above
DNA1_Mam,0.06378271776364719,23.00818200317166,470.20714285714286,140,2.146128035678238,DNA,TcMar-Tc1,0.09365625070674424,below
ERV24B_Prim-int,0.09182883928639757,29.614971871225887,7983.221476510067,149,2.173186268412274,LTR,ERV1,0.09066975776958465,above
ERV24_Prim-int,0.07181915489538077,26.479036016658746,7802.638036809816,163,2.2121876044039577,LTR,ERV1,0.08653184006576288,below
ERV3-16A3_I,0.14194624303524409,29.38689655172414,5438.2408350305495,1964,3.2931414834509307,LTR,ERVL,0.023709103134871002,above
ERV3-16A3_LTR,0.050493250215872365,28.512780388931297,901.242718446602,927,2.967079734144497,LTR,ERVL,0.0350362365917031,above
ERVL-B4-int,0.05691184805709925,19.25894466724794,5966.783574879227,1035,3.0149403497929366,LTR,ERVL,0.03308434787363988,above
ERVL-E-int,0.11157582741302405,31.06120414228662,5853.276401869159,4280,3.6314437690131722,LTR,ERVL,0.015810499175686523,above
ERVL-int,0.09425428946438603,19.393997655051365,5990.165311653116,369,2.56702636615906,LTR,ERVL,0.05657262167424731,above
ERVL47-int,0.15879961656944103,28.052568830892163,5512.395833333333,48,1.6812412373755872,LTR,ERVL,0.16343532909692196,below
EUTREP15,0.069188182031406,31.86620668316086,1003.4375,144,2.1583624920952498,LTR,ERV1,0.09229390648066528,below
EUTREP2,0.03563925283237724,29.847292695300844,461.35400516795863,774,2.8887409606828927,DNA,hAT,0.03848270831693153,below
EUTREP4,0.05693062250118593,28.925493897321886,659.2753164556962,316,2.499687082618404,DNA,PiggyBac,0.06132434852478062,below
EUTREP7,0.0843369481040432,28.486885924593622,635.8155339805825,206,2.3138672203691533,LTR,ERV1,0.07661032471878337,above
Eulor5A,0.0882739197934982,29.33660351071656,314.8715596330275,109,2.037426497940624,DNA,Crypton-A,0.10667869516259706,below
Eulor5B,0.15093423570832812,21.8722402572418,188.34146341463415,41,1.6127838567197355,DNA,Crypton-A,0.17739997501936425,below
Eulor6A,0.1256258112563432,23.840635857096032,245.96428571428572,28,1.4471580313422192,DNA,Crypton,0.21632279791042916,below
Eulor6B,0.10076030778316347,28.71831176668715,333.9298245614035,57,1.7558748556724915,DNA,Crypton,0.14946025577263047,below
Eulor6C,0.1904172776761488,22.4083645443196,205.73684210526315,19,1.2787536009528289,DNA,Crypton,0.26466451254236506,below
Eulor6D,0.10897875462605768,29.555796963946868,303.50704225352115,71,1.8512583487190752,DNA,Crypton,0.13332526800715686,below
Eulor6E,0.19918297978498645,26.6272,287.41379310344826,29,1.462397997898956,DNA,Crypton,0.21241020893491716,below
Eulor8,0.08963999708649083,30.25464835020081,561.3245033112582,151,2.1789769472931693,DNA,TcMar,0.09004310008915549,below
EutTc1-N1,0.2089463077197805,16.026594350970306,650.9772727272727,44,1.6434526764861874,DNA,TcMar-Tc1,0.17100208215736265,above
EutTc1-N2,0.0767184193644642,20.94158938326035,448.12,150,2.1760912590556813,DNA,TcMar-Tc1,0.09035484124120349,below
EuthAT-2,0.09284994242276959,26.64568301024388,2924.096064814815,864,2.936513742478893,DNA,hAT-Ac,0.036342638744916785,above
EuthAT-N1,0.08691154203454343,28.75417910447761,345.80263157894734,76,1.8808135922807914,DNA,hAT-Tip100,0.12868840745656926,below
EuthAT-N1a,0.12466273563834537,28.261463414634147,282.0,45,1.6532125137753437,DNA,hAT-Tip100,0.16901485972886332,below
Eutr10,0.060836423827067033,35.44137620351846,891.2866242038217,628,2.797959643737196,LTR,ERVL,0.042902817162796106,above
Eutr15,0.05741911665176738,29.95361511823728,999.3633027522936,545,2.7363965022766426,DNA,hAT-Tip100,0.04618575519027458,above
Eutr16,0.05542402121418055,31.58263038961405,789.5549738219895,382,2.582063362911709,DNA,hAT-Tip100,0.05556288446577263,below
Eutr2,0.08110860467168356,26.091798793991856,1003.0339805825242,206,2.3138672203691533,DNA,MULE-MuDR,0.07661032471878337,above
Eutr2B,0.06408931881821667,25.448304928145003,1736.020618556701,388,2.5888317255942073,DNA,MULE-MuDR,0.05511428867383126,above
FAM,0.02280383222932829,13.301266405909448,185.67581837381204,1894,3.2773799746672547,SINE,Alu,0.024160924270556203,below
FLAM_A,0.025866155820622884,13.637258019911503,142.8156743137515,7541,3.87742894078822,SINE,Alu,0.011775927161726308,above
FLAM_C,0.026808701837215423,13.390775995109129,165.5445550583006,32847,4.516495710488137,SINE,Alu,0.005477481472024291,above
FRAM,0.02372718390714792,13.967443738115374,179.97953790907243,14759,4.169056932744852,SINE,Alu,0.008304303277757974,above
FordPrefect,0.09212005870213016,27.0442272104207,1767.271210013908,719,2.8567288903828825,DNA,hAT-Tip100,0.03998681464553217,above
FordPrefect_a,0.09364671484139539,25.727032953662075,529.8536585365854,205,2.311753861055754,DNA,hAT-Tip100,0.07680448252909798,above
HAL1,0.07015882538173773,32.88623931798241,2848.2268161872257,10255,4.010935664704385,LINE,L1,0.01003577374341533,above
HAL1M8,0.06801550959462659,26.653912686853417,3306.817367949866,1117,3.048053173115609,LINE,L1,0.031797927884392625,above
HAL1ME,0.059870307744225255,32.712369590029674,2662.54424073336,5018,3.7005306569785916,LINE,L1,0.014554915370728493,above
HAL1b,0.054158224046713985,31.204213672070093,2620.151628222524,2948,3.469527479187014,LINE,L1,0.019194072768746857,above
HERV-Fc1_LTR1,0.33835756864139444,8.39955941217469,1486.3076923076924,13,1.1139433523068367,LTR,ERV1,0.32241777318635495,above
HERV-Fc1_LTR3,0.5333333333333332,2.6462499999999998,1740.0,4,0.6020599913279624,LTR,ERV1,0.5951963327982362,below
HERV-Fc2-int,0.30208229324409364,16.682673905120744,7237.8,10,1.0,LTR,ERV1,0.3695593562463967,below
HERV15-int,0.17493015699199457,9.44324980442766,8619.25,20,1.3010299956639813,LTR,ERV1,0.2576967656310056,below
HERV16-int,0.2967518734126064,30.09111111111111,5248.567081604426,1446,3.160168292958512,LTR,ERVL,0.02780236228548216,above
HERV1_I,0.2980395672703365,17.294244172135457,8820.416666666666,12,1.0791812460476249,LTR,ERV1,0.3361242097722244,below
HERV1_LTRa,0.20300103211998669,7.420957306393828,1481.35,20,1.3010299956639813,LTR,ERV1,0.2576967656310056,below
HERV1_LTRb,0.2768620268620269,7.358365162492905,3000.5,8,0.9030899869919435,LTR,ERV1,0.4150396048717658,below
HERV1_LTRc,0.20615861457333154,5.331421270487699,1684.076923076923,26,1.414973347970818,LTR,ERV1,0.22482406391987803,below
HERV1_LTRd,0.28074831151754226,6.841682439537329,1295.0,12,1.0791812460476249,LTR,ERV1,0.3361242097722244,below
HERV1_LTRe,0.18159217803180647,12.833888888888888,1056.388888888889,18,1.255272505103306,LTR,ERV1,0.27221311955888344,below
HERV3-int,0.1440665881814278,19.88249655257237,8143.053571428572,56,1.7481880270062005,LTR,ERV1,0.15084259040615974,below
HERV35I-int,0.07857304427117105,16.14250634615518,7073.700483091788,207,2.315970345456918,LTR,ERV1,0.0764175944014712,above
HERV4_I,0.11262414610709315,16.523868870651157,7073.365853658536,82,1.9138138523837167,LTR,ERV1,0.12370135693984607,below
HERV9-int,0.06429001125601369,7.141168635505766,8407.239316239316,117,2.0681858617461617,LTR,ERV1,0.10282015961483727,below
HERV9N-int,0.09896752074153313,6.914129152918345,5588.811111111111,90,1.9542425094393248,LTR,ERV1,0.11785435363155683,below
HERV9NC-int,0.09703307515504059,7.480982671173128,6815.08,100,2.0,LTR,ERV1,0.11156937486914276,below
HERVE-int,0.18832661472888562,6.827389508016374,7844.147887323944,142,2.1522883443830563,LTR,ERV1,0.09296778634913695,above
HERVE_a-int,0.20000548179660646,12.766091982765026,7920.282608695652,92,1.9637878273455553,LTR,ERV1,0.11651468404882515,above
HERVFH19-int,0.1510767140009156,13.343824244277862,7691.025641025641,39,1.591064607026499,LTR,ERV1,0.1820751385454446,below
HERVFH21-int,0.1254839316206451,20.985056266047057,6765.379310344828,58,1.7634279935629373,LTR,ERV1,0.14811430261099348,below
HERVH-int,0.07878616683627045,7.661659368405829,6577.502202643172,454,2.6570558528571038,LTR,ERV1,0.05078989128257586,above
HERVH48-int,0.19168338907469337,10.203876445167285,7134.916666666667,24,1.380211241711606,LTR,ERV1,0.23438180203550538,below
HERVI-int,0.2063290428242982,16.90641178339028,8190.875,24,1.380211241711606,LTR,ERV1,0.23438180203550538,below
HERVIP10B3-int,0.08022529486570867,22.56961553445111,7705.676470588235,68,1.8325089127062364,LTR,ERV1,0.1363530641789163,below
HERVIP10F-int,0.12110068777215169,19.009715523603848,7805.676470588235,68,1.8325089127062364,LTR,ERV1,0.1363530641789163,below
HERVIP10FH-int,0.14653384841437217,24.936419129887142,5179.455882352941,952,2.9786369483844743,LTR,ERV1,0.034554604330618986,above
HERVK-int,0.1497281990285355,9.629987209729357,7471.215909090909,88,1.9444826721501687,LTR,ERVK,0.11924005821353413,above
HERVK11-int,0.1816170236346321,7.537194853630279,8015.263888888889,72,1.8573324964312685,LTR,ERVK,0.13235886159836002,above
HERVK11D-int,0.3443223443223443,3.36519554935676,8186.375,8,0.9030899869919435,LTR,ERVK,0.4150396048717658,below
HERVK13-int,0.2447552447552447,9.132048636362642,7899.571428571428,14,1.146128035678238,LTR,ERVK,0.3102263737674436,below
HERVK14-int,0.17673673985298133,5.59858069490001,5889.5,88,1.9444826721501687,LTR,ERVK,0.11924005821353413,above
HERVK14C-int,0.358259542301681,5.255076590281761,7464.4,30,1.4771212547196624,LTR,ERVK,0.20869749554415376,above
HERVK22-int,0.12053196403489719,10.956633625130976,6780.761363636364,88,1.9444826721501687,LTR,ERVK,0.11924005821353413,above
HERVK3-int,0.15834285651127705,14.576931252095768,6956.05,80,1.9030899869919435,LTR,ERVK,0.12530039608776747,above
HERVKC4-int,0.39174047425082,10.373150297061349,5562.782608695652,23,1.3617278360175928,LTR,ERVK,0.23962813141689782,above
HERVL-int,0.050450992264233115,8.538251209291893,5869.528432732316,721,2.857935264719429,LTR,ERVL,0.03992908058595461,above
HERVL18-int,0.11059725699456176,13.629462659391855,5552.277777777777,90,1.9542425094393248,LTR,ERVL,0.11785435363155683,below
HERVL32-int,0.125230630977969,15.191395318367007,4411.777777777777,36,1.5563025007672873,LTR,ERVL,0.18981558367953275,below
HERVL66-int,0.1876709004418834,10.473078442199986,4240.7037037037035,27,1.4313637641589874,LTR,ERVL,0.22045375736918307,below
HERVL74-int,0.08177034276126323,20.70208043492123,5733.068965517241,116,2.0644579892269186,LTR,ERVL,0.10328025929939795,below
HERVP71A-int,0.17349850067491346,13.786837365746747,7871.313725490196,51,1.7075701760979363,LTR,ERV1,0.1583620498637371,above
HERVS71-int,0.17776161121971906,12.981682304779808,8266.75,52,1.7160033436347992,LTR,ERV1,0.1567706124262594,above
HSMAR1,0.04619788374561128,7.527383570982092,1360.2037671232877,584,2.7664128471123997,DNA,TcMar-Mariner,0.04455484798656457,above
HSMAR2,0.07648964634309537,13.45874333167247,1454.8150289017342,1384,3.141136090120739,DNA,TcMar-Mariner,0.028443391305085556,above
HUERS-P1-int,0.10081141365788154,14.586940766718394,6916.568862275449,167,2.2227164711475833,LTR,ERV1,0.0854474987387879,above
HUERS-P2-int,0.09334182869997669,14.371952697383318,3601.1388888888887,72,1.8573324964312685,LTR,ERV1,0.13235886159836002,below
HUERS-P3-int,0.08314420343936703,16.68055350268596,8867.689024390244,164,2.214843848047698,LTR,ERV1,0.08625698924496052,below
HUERS-P3b-int,0.13558729198099265,10.952223711657256,7546.695652173913,115,2.060697840353612,LTR,ERV1,0.10374642824452841,above
Harlequin-int,0.13268482515147983,9.031210509675148,6807.751879699248,133,2.123851640967086,LTR,ERV1,0.09618864506773227,above
Helitron1Na_Mam,0.047481105511212304,29.237121062121485,1107.189964157706,279,2.4456042032735974,RC,Helitron,0.06542808691691586,below
Helitron1Nb_Mam,0.06947044734266757,29.13779112975817,1189.2890625,256,2.4082399653118496,RC,Helitron,0.06842255186488277,above
Helitron2Na_Mam,0.03709980737067388,33.569542257503414,334.034398034398,407,2.60959440922522,RC,Helitron,0.05376064313484174,below
Helitron3Na_Mam,0.046954933959999036,32.02333910815662,545.8132875143184,873,2.9410142437055695,RC,Helitron,0.036147270242931344,above
Kanga1,0.08003075917671068,24.871895959308,1795.706474820144,695,2.8419848045901137,DNA,TcMar-Tc2,0.04069921114352219,above
Kanga11a,0.04748951015011151,27.04997017412639,1027.9475753604195,763,2.8825245379548803,DNA,TcMar-Tc2,0.038770296419089,above
Kanga1a,0.08308475398725168,25.576523293939168,849.6103286384977,639,2.8055008581584002,DNA,TcMar-Tc2,0.04251705999012311,above
Kanga1b,0.07004588736068966,25.701803727228075,881.6156462585034,294,2.4683473304121573,DNA,TcMar-Tc2,0.06366992781304856,above
Kanga1c,0.050597371809009056,23.833407722347314,730.3102529960054,751,2.8756399370041685,DNA,TcMar-Tc2,0.039091304987374474,above
Kanga1d,0.07143262372816214,24.581853744456108,689.6535433070866,508,2.7058637122839193,DNA,TcMar-Tc2,0.047905983269304966,above
Kanga2_a,0.04234132930643193,29.35391679028589,1010.6280436607892,1191,3.0759117614827773,DNA,TcMar-Tc2,0.030754457371777847,above
L1HS,0.06128090112610243,1.4269475325798422,5730.743886743887,1554,3.1914510144648953,LINE,L1,0.026779956121930945,above
L1M1,0.05168991022007429,17.632802482421635,7257.438635112823,5451,3.7364761820276966,LINE,L1,0.013941594076684199,above
L1M2,0.05558934781160435,20.392287254225792,6631.187570198427,5342,3.727703883685354,LINE,L1,0.014088844967754206,above
L1M2a,0.10287403088450589,26.990838647594945,7365.4125,240,2.380211241711606,LINE,L1,0.07075846939701502,above
