,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
26792,HL-60,H3K27ac,MER105,-0.015221255988547637,0.6932443037008826,-0.09063657867665892,0.06036764632615623
26793,HL-60,H3K27ac,SVA_F,0.2666598964895156,2.446047803338534e-12,0.19474104959477034,0.3357268375414612
26794,HL-60,H3K27ac,Charlie31a,-0.018518287406513442,0.6325637870924979,-0.09418745345221624,0.05736361264457948
26795,HL-60,H3K27ac,LTR12_v,-0.0610742058458118,0.12300596139239492,-0.13798211548074682,0.016565798646269482
26796,HL-60,H3K27ac,AluYk12,0.027916180498888103,0.4763791191386199,-0.04891361125051492,0.10441755687267047
26797,HL-60,H3K27ac,LTR1A2,-0.050980440967037,0.194255115838968,-0.1273830337315976,0.026023582090002162
26798,HL-60,H3K27ac,LTR33C,-0.0014237561388452237,0.9708775861411278,-0.07773210507219415,0.07490117739358786
26799,HL-60,H3K27ac,MLT1J-int,-0.02416353219452862,0.5373322248801465,-0.10064339270952187,0.05260021651017717
26800,HL-60,H3K27ac,Charlie20a,-0.018814809723958548,0.6323408920459732,-0.09563758658522933,0.058230770285287
26801,HL-60,H3K27ac,LTR88a,0.027397273150897686,0.48428144336186746,-0.049372736993428396,0.10384545649196127
26802,HL-60,H3K27ac,LTR103_Mam,0.01768879027009077,0.6553772180021555,-0.05995499832461818,0.09511982091539686
26803,HL-60,H3K27ac,LTR17,-0.10244065357657481,0.009907289087985625,-0.17894066927625693,-0.02470940238709329
26804,HL-60,H3K27ac,MER61A,-0.0960586400802875,0.015623134322786562,-0.17269440795192062,-0.018266873013461762
26805,HL-60,H3K27ac,LTR12,-0.029885613162705875,0.46163080167736553,-0.10907690450363064,0.049682640096516975
26806,HL-60,H3K27ac,MER6B,-0.042626644650052836,0.2865482578146863,-0.12052510981910947,0.035793565029727525
26807,HL-60,H3K27ac,Kanga1a,-0.05043362786714275,0.20365886202772313,-0.12761692457270013,0.02735683272180008
26808,HL-60,H3K27ac,MamRep1894,0.01883825256481859,0.6358985558981369,-0.05911544570738181,0.09656358870277533
26809,HL-60,H3K27ac,LTR7B,-0.08027384544591112,0.04624667369790974,-0.15820458273570648,-0.001349230511634071
26810,HL-60,H3K27ac,X4b_DNA,-0.08051701143915632,0.04302725882672062,-0.15751804913690404,-0.002542801084181511
26811,HL-60,H3K27ac,L1P5,-0.06405302329885686,0.10936640466685082,-0.14170504876749432,0.014382468842874228
26812,HL-60,H3K27ac,LTR49-int,-0.11180436450159675,0.005101741404047763,-0.18851600875201127,-0.0337366426538154
26813,HL-60,H3K27ac,LTR23,0.0533826771028483,0.1839942739033672,-0.025402375570384574,0.1315086936279935
26814,HL-60,H3K27ac,Eutr10,-0.055950818512204695,0.16138541804983986,-0.13360429791719164,0.022385506059571153
26815,HL-60,H3K27ac,Charlie4,0.04251010517523261,0.289807091849001,-0.03622600477178831,0.12072170625678068
26816,HL-60,H3K27ac,X9a_DNA,-0.01760959066310798,0.6614018183598258,-0.09615473001960054,0.061153498257904525
26817,HL-60,H3K27ac,MLT1E,-0.0005732714600127017,0.9886894382367043,-0.07969555556758245,0.07855619104485659
26818,HL-60,H3K27ac,UCON105,0.01899593806379629,0.6379609501304426,-0.06009148933339725,0.09784635967378916
26819,HL-60,H3K27ac,MER110,0.03490748963117639,0.3909989025132212,-0.04486408799005971,0.11423672382260716
26820,HL-60,H3K27ac,LTR12D,-0.01594424317585698,0.7045525911290917,-0.09808551803026593,0.06641280937844006
26821,HL-60,H3K27ac,X9b_DNA,-0.049377148825699387,0.22561248300924452,-0.12864906369297308,0.0305217789071002
26822,HL-60,H3K27ac,MST-int,-0.03067075889887159,0.46567757956715855,-0.11265643177571122,0.05172970646215366
26823,HL-60,H3K27ac,X6B_LINE,-0.015028845920249402,0.7140221133424227,-0.0951594698908526,0.06529528577005334
26824,HL-60,H3K27ac,Charlie30b,0.0007744343127465572,0.9849094829751992,-0.07934169870287414,0.08088062699583706
26825,HL-60,H3K27ac,MER4CL34,-0.00688612263495569,0.8674403932141018,-0.08755781748839032,0.07387530487199541
26826,HL-60,H3K27ac,Zaphod2,0.047659989942565706,0.2469355706979715,-0.033050741472302726,0.12775313430874458
26827,HL-60,H3K27ac,LTR16B,-0.12866693485339983,0.0018352448632410992,-0.20763365689184946,-0.04803410553011783
26828,HL-60,H3K27ac,LTR40c,-0.06661228722910487,0.10781412353810432,-0.14695234913437885,0.014600895553645032
26829,HL-60,H3K27ac,LTR9,-0.058077154417361235,0.16577204518915364,-0.13946590600712508,0.02409101558070287
26830,HL-60,H3K27ac,LTR41C,-0.011910029004062211,0.774517744316825,-0.09316339943629516,0.06950093143938309
26831,HL-60,H3K27ac,ORSL-2b,-0.02632416515623234,0.5258504072103519,-0.1072986781639253,0.054997275622252026
26832,HL-60,H3K27ac,HSMAR1,0.025011377895998586,0.5467031412176409,-0.05630685977779715,0.10599996701869693
26833,HL-60,H3K27ac,Eutr18,0.015971908825584767,0.7018303493933562,-0.06573910259331658,0.09747014240073243
26834,HL-60,H3K27ac,MER106A,-0.07240861178661247,0.08250880204714467,-0.15319854936289262,0.009342840572220368
26835,HL-60,H3K27ac,Tigger23a,0.044713970850087485,0.282760631643566,-0.03690459214827247,0.12573994210530634
26836,HL-60,H3K27ac,MER6,0.017047683339415223,0.685690661634308,-0.065459560215207,0.09932340855544362
26837,HL-60,H3K27ac,MamGypLTR1d,0.0280507564837763,0.5050308090640546,-0.054417444240497964,0.11013887002482056
26838,HL-60,H3K27ac,Tigger12A,-0.054653607347017255,0.19456443029972625,-0.13652633986250579,0.02796067860701947
26839,HL-60,H3K27ac,MER72,-0.02363187998482485,0.5778300133246734,-0.10650173869246536,0.059564017596657436
26840,HL-60,H3K27ac,Chap1_Mam,0.0032089575613938183,0.9397658377455332,-0.07989129604321975,0.08626491444529184
26841,HL-60,H3K27ac,MER92B,-0.036759610245128214,0.3912957327493273,-0.12030085111558349,0.047298605250309725
26842,HL-60,H3K27ac,LTR81A,0.08211050239065108,0.05213374437985647,-0.0007505533151057852,0.16385171232034673
26843,HL-60,H3K27ac,Tigger9b,-0.06621899820764615,0.11851730470407787,-0.14848109836424256,0.01695322317937607
26844,HL-60,H3K27ac,LTR89B,0.02476496923650189,0.558664485090883,-0.058210423622886746,0.1074005408112707
26845,HL-60,H3K27ac,MER41C,-0.03015878631886256,0.48149430996714765,-0.11370681298477323,0.05381279315777365
26846,HL-60,H3K27ac,X1_DNA,0.004269312569133984,0.9198488570687325,-0.0787630185762899,0.08724281592609305
26847,HL-60,H3K27ac,MER50B,-0.037579514795307356,0.39108031577341545,-0.12292253452398304,0.04831523869513286
26848,HL-60,H3K27ac,L5,-0.02031688200485821,0.6344746966940508,-0.10374703890557917,0.06339718959820863
26849,HL-60,H3K27ac,LTR41B,-0.0452977273323369,0.28762111175888694,-0.12819267418907732,0.03822576273126307
26850,HL-60,H3K27ac,Tigger5,-0.07508339889440371,0.0798963565201425,-0.1580758691306489,0.008962449100731296
26851,HL-60,H3K27ac,LTR103b_Mam,0.039690251454610644,0.35153851694636395,-0.04383392559887286,0.1226634324623146
