,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
20374,HAP-1,H3K27ac,LTR72,-0.16658943121675993,0.07916910037118932,-0.342732248525054,0.020868783595400946
20375,HAP-1,H3K27ac,Eulor9A,-0.21754127292372452,0.2569597752424758,-0.5441097742277535,0.1662696740835085
20376,HAP-1,H3K27ac,HERVL74-int,0.023702165239899285,0.8378749015196685,-0.20137626689286836,0.2464031111328349
20377,HAP-1,H3K27ac,UCON39,0.14411764705882352,0.5943782881736932,-0.3810466250670312,0.5989701306371717
20378,HAP-1,H3K27ac,HUERS-P3b-int,-0.03545231030607157,0.7316602534794117,-0.23433345983338927,0.16627712542488735
20379,HAP-1,H3K27ac,LTR30,0.06829545845027751,0.5017836734809233,-0.13111007007570474,0.2623896725737243
20380,HAP-1,H3K27ac,PrimLTR79,-0.1448878517930275,0.16352652631927342,-0.3385467016756871,0.060546699403483915
20381,HAP-1,H3K27ac,LTR22B1,-0.04498642405427685,0.6438613637317014,-0.23207971525538074,0.1453167976531492
20382,HAP-1,H3K27ac,LTR14A,-0.143881013753205,0.141169631600057,-0.32658818223368347,0.04919177162593562
20383,HAP-1,H3K27ac,UCON86,0.38791643139469234,0.07444149018388681,-0.05684902475450041,0.7042084351108185
20384,HAP-1,H3K27ac,LTR14C,-0.0037557854273470156,0.9739658429437399,-0.22609833141789965,0.2189587306302985
20385,HAP-1,H3K27ac,Eulor5A,-0.41597195755241423,0.07649819411312131,-0.7413899178605668,0.06783191783071349
20386,HAP-1,H3K27ac,MER68-int,0.15965811965811963,0.43593324205666106,-0.24514522409829168,0.5170557405866892
20387,HAP-1,H3K27ac,LTR27C,0.2239952501887668,0.023623416363379803,0.028411475515198317,0.403060584688505
20388,HAP-1,H3K27ac,CR1-1_Amn,0.09090909090909093,0.7787253962454419,-0.5105763203893825,0.6326549288765625
20389,HAP-1,H3K27ac,MER95,-0.013499664566375877,0.899506654622189,-0.21998491197431774,0.19414339625622362
20390,HAP-1,H3K27ac,PABL_A-int,-0.2635275037954424,0.05907346517242518,-0.5040418995903883,0.014918047302628183
