,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
cell_line,Caco-2,Caco-2,SJCRH30,SJCRH30,SJCRH30,SJCRH30,SJCRH30,SJCRH30,BE2C,BE2C,BE2C,BE2C,SJSA1,SJSA1,SJSA1,SJSA1,SJSA1,HAP-1,HAP-1,HAP-1,HAP-1,HAP-1,HAP-1,HL-60,MG63,MG63,MG63,MG63,VCaP,VCaP,C4-2B,C4-2B,RWPE2,RWPE2,RWPE2,22Rv1,22Rv1,RWPE1,RWPE1
modification,H3K4me1,H3K9me3,H3K27ac,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K27ac,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K27ac,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K27ac,H3K9me3,H3K36me3,H3K27me3,H3K4me3,CTCF,H3K27ac,CTCF,H3K27ac,CTCF,H3K27ac,H3K36me3,CTCF,H3K27ac,CTCF,H3K27ac
Gypsy,-0.021217753936061352,0.00996532171578326,-0.006489103910095611,-0.016704729692269184,0.0315258286192648,0.005791251231876476,-0.02975792757956074,-0.006118847995066865,-0.007364837833344329,0.015620601956075814,0.0021061202060598553,-0.029366173836773257,0.006442665141242536,0.03509556009303982,-0.01509923307473623,-0.018230798331996395,-0.02732639255467263,-0.01120298480495409,-0.015781194527257927,-0.004498775901028307,-0.00534282030136209,-0.03627068679853004,-0.039758325989497675,-0.003259852776623986,0.01977046550626876,-0.02200766101997271,-0.019044235790000384,-0.01556946087627581,-0.01831298786409493,-0.07077804676735028,0.07053361767566713,-0.0613129154416839,-0.010847015893255858,-0.023649324914499257,0.020871907248649724,-0.0426808847200044,-0.042697984964342565,0.04499277972880416,-0.09306266728558547
hAT-Blackjack,-0.014535697872609653,-0.012097779782030907,0.011786774292148663,-0.022920582670609934,0.01585256721720677,-0.01662054677935925,-0.03536934963740697,-0.01807750044461188,0.003215209037123681,0.030483003491141747,0.0036415918983031675,-0.011479415419356155,-0.010130980485983515,0.11161344062443779,0.04845907254814961,-0.013960692989782274,0.028790030318988424,-0.029414827956354753,-0.020186085681610698,0.040293661220312846,0.021395717337144148,-0.014208074714688953,-0.0035865200195040925,-0.004293334821461795,0.06023386273685542,0.04144710738287665,0.04817620756986381,0.000311365624374948,-0.0009846197384622362,-0.06146002304400445,-0.0008546084007970853,-0.04613534541318407,-0.03597719609992735,-0.05655115309854406,-0.033935305878762555,-0.006697512580739303,-0.01587707329761935,-0.041050876322728413,-0.1040456103028697
TcMar-Mariner,0.033880936423021125,-0.038694330893997216,0.012264726887001299,0.019869751204703138,-0.0591963731709794,0.017868360874366728,-0.030130906288711026,-0.02196624028455614,0.022162348708543816,-0.03975539717384121,0.026948144629663683,0.01918389186454725,0.016986481444139803,-0.07184870950045205,0.023037885839891633,-0.033086827762003994,-0.027960726312433022,0.02143354357634544,0.02811766972600378,-0.04004835608369148,0.032329024693036515,0.0029407359116802693,-0.0011277452167726808,0.03267006467052049,-0.058534958658139256,0.042857500586997214,-0.026551626779586265,-0.014632047905748262,-0.03058999307282434,0.052036536875176065,-0.0012590688326537022,0.01628963265457976,-0.01084349765624527,0.049265369703640156,0.07555723985326072,-0.017072717990871997,0.036366419075798746,-0.022882732327359753,0.04270753919120833
RTE-X,-0.03471703641841633,0.06800590276097085,-0.012822851704983542,-0.03268387093335885,0.07043331091689692,-0.05224598502044841,0.010694844680163644,-0.033021004062437145,-0.023537392966075075,0.023680513927180184,-0.05890632648123982,-0.004511199834955151,-0.045996997892190444,0.012426682277294064,-0.10946532999209886,-0.004732208331695939,-0.07997970429347602,-0.05876563538963665,-0.03279770517747352,0.018174533964550744,-0.08401479747957748,-0.004578609118265338,-0.08396209359854667,-0.04351747648855319,0.03426882779346929,-0.09703068760299433,-0.0032699736397064447,-0.04583021471840366,-0.037922258089703974,-0.10259229080921498,0.11214273310580913,-0.09506779993205018,0.005232855209587481,-0.06324089135007042,-0.03523945079839893,-0.0975331018771072,-0.06576880552507611,0.11793708181581326,-0.11863984408812936
ERVK,0.05765837787754704,0.12941357760910877,0.0023233272067511397,-0.028205990667002964,0.11747794434952351,0.021093912370121093,-0.04385133320408654,0.029813897460366886,-0.017274396965880356,0.09791008396775439,-0.0044606942574400635,-0.032096415409912864,0.018056673756826253,0.09015311241423514,-0.029263728575008443,-0.015761455973176776,0.004611170658754138,-0.2077496198961451,-0.12171336123000212,0.09352903867932688,-0.014803140432629112,-0.0014211280098434574,-0.0679625232289511,-0.002825443926300218,0.0503226167706244,-0.03857225582370553,-0.020883352789372128,0.00040067793122174387,-0.06783164796375861,0.0019153839460416431,0.07963020842141638,-0.05703275160515772,-0.0622740033257109,-0.02879019771818921,-0.035593806082204124,-0.06215852659204377,-0.03156812211180393,0.04776279466478367,-0.16993701012611193
TcMar-Tc2,-0.028053712581902365,0.03356283874342772,0.02360321621800292,-0.0051982987992321185,0.017170393281139208,-0.06565171998052843,0.055676404358001925,-0.00818867684074173,-0.019735535942132065,0.033029127588736704,-0.06234299392962939,0.009856433267337787,-0.034878384454787296,0.07174892821329322,-0.09780487214088937,0.01897218023310622,-0.014684608423743164,-0.01226868351073131,-0.019071561340198554,0.030234352629170756,-0.0733913886966026,-0.0016315283918763627,-0.01641692431712104,-0.019177330777800795,0.025465342263130655,-0.08647479710076816,0.03623071150719897,0.019827698620204,-0.0035829634443523602,-0.07261953008604928,0.0324596225519171,-0.019823632161478248,-0.01891275963058473,-0.04940059405734854,-0.07461403332762455,-0.046270366179853584,-0.04471852381081882,0.06501209337391971,-0.03102345919402795
SVA,-0.07768953198448741,-0.5261748342225925,0.12039631848413476,0.27960144609774673,-0.3529657741628101,0.08015051473082309,0.2676468301112194,0.09608309207700011,0.21342553346473905,-0.32919235462187413,0.02294505638053047,0.0767470272431914,0.030957005222740967,-0.25575879830461223,-0.09271675574937782,0.041219662790791596,-0.1711031357860601,-0.01645545712582309,0.02620157646109687,-0.4371129336765568,-0.1209373939903948,0.09025338881987381,-0.04420750107006278,0.17522293596247857,-0.17929770891834357,0.05872379812263435,-0.0036856931565124075,-0.021924805498494803,-0.1346880649565564,-0.08073084785982207,0.4768182848848346,0.07677634385612372,-0.11214766019080201,-0.04669314377920347,0.19054441823019216,-0.276669065135945,-0.18082234255718713,0.3626352051338634,-0.3084100902940101
RTE-BovB,-0.034851079145332906,0.031720439367002244,-0.007260610630642007,-0.0005207857180259403,0.07210257331481512,-0.012044992999584917,-0.06529567483441792,-0.024626028421422776,0.00791029887786588,-0.007304257439162716,-0.053465863238582836,-0.05100793131130815,-0.02363268443072732,-0.04162651215605236,-0.08912125025669651,-0.035500661996925136,-0.09891964753584409,-0.015322611393122324,0.03548569306966073,-0.05218808056103275,-0.08077875598416205,-0.06615872986562027,-0.09537229792645747,-0.03201712182552322,0.023190594590278585,-0.07285098140044266,-0.052191263354424026,-0.039141786472982644,-0.10308297218860128,-0.10526687031828728,0.14038470198603903,-0.13495595282894637,-0.05169331570523835,-0.031071579068169323,0.007090519428792833,-0.14410375269195272,-0.07462372484363994,0.11751319874980078,-0.15399011529962417
tRNA-RTE,-0.04435692298344595,-0.009898065591221963,-0.0043742284172088395,-0.010914051276499795,0.03444330573187381,0.00029394165158127704,0.03912896600551064,0.01985858168794853,0.006406798249182965,0.027095537641127505,-0.00016708836726011983,0.02720676298493283,0.005533899227181617,0.009278907201217,-0.025710806492322172,0.010022096585962348,-0.028925106714265333,-0.03248850284788333,-0.01616380115453737,-0.0025319944734108753,-0.025618770598546114,-0.020811926156958087,-0.048499655678191325,-0.012351788392540216,0.018544582764214067,-0.037212633713645304,-0.008834445291491824,-0.02621748931751799,-0.025648768311991154,-0.05300535631467371,0.056791288073106454,-0.07043204149440874,-0.0244078373077219,-0.02398373603848671,-0.010068566212267623,-0.0355075292668831,-0.04935744211767008,0.02408387390442536,-0.10125330529367067
hAT-Ac,-0.024638880375936555,-0.05966068568057679,0.024182152390262467,0.03372446076015046,-0.0037826261930471753,-0.0624087202880133,0.024800974875380747,0.006698825769361793,0.057907157201786214,0.009274580947522036,-0.052654011478993665,-0.021837593994628212,-0.015432741122300218,0.03072855835659259,-0.05260933028233593,0.025053866147938746,-0.02472336479353812,-0.05262297479205605,-0.011558437101273593,-0.03482342139806265,-0.07774381290036417,0.020420704158083197,-0.04457115963311438,-0.018793996673478485,-0.013066951206355166,-0.0708285846069177,-0.0006423583400651198,-0.009602421515194325,0.00344388797723355,-0.029553687099234158,0.05750972336731609,-0.04916031894024965,-0.037752959372454736,-0.007147081546449782,-0.05620433612796886,-0.037501012867218395,-0.03852696348641546,0.022429673961559593,-0.045232617214507144
